row,flirtation,identity_attack,insult,severe_toxicity,sexually_explicit,threat,label
0,0.59382784,0.56351614,0.84908956,0.8646318,0.7773473,0.6024943,Offensive
1,0.21319275,0.40725332,0.92501026,0.856451,0.45698315,0.5929306,Offensive
2,0.47453213,0.3235741,0.710831,0.7473183,0.9337145,0.20884773,Very offensive
3,0.5034261,0.4075568,0.7966854,0.8546382,0.95597285,0.34333643,Neutral
4,0.39480656,0.17007767,0.5618494,0.76656264,0.45930004,0.22369757,Profanity
5,0.27721474,0.25066984,0.86760235,0.8838612,0.35572395,0.22828777,Profanity
6,0.19704242,0.38814718,0.8532361,0.7790976,0.14791107,0.1889066,Profanity
7,0.3844746,0.9889422,0.97533107,0.95164716,0.7722222,0.3667347,Extremely offensive
8,0.110473394,0.08640981,0.45269802,0.7007862,0.17724873,0.10832858,Profanity
9,0.38839412,0.24394554,0.6790469,0.7473183,0.5919659,0.24628817,Profanity
10,0.32914478,0.9144179,0.92501026,0.7531423,0.31411007,0.21407463,Profanity
11,0.30027753,0.86371624,0.79773325,0.8598977,0.6511437,0.19591823,Offensive
12,0.13064627,0.14805648,0.7491798,0.72319835,0.22468656,0.11264444,Profanity
13,0.63560736,0.4194789,0.6196274,0.8003722,0.9389396,0.38876703,Profanity
14,0.13453254,0.43985173,0.8517321,0.81991214,0.39415953,0.24856971,Offensive
15,0.44705194,0.24254842,0.60507166,0.7189692,0.38142142,0.9262451,Neutral
16,0.35401264,0.939611,0.8982019,0.86612374,0.6522458,0.1792186,Offensive
17,0.34093446,0.61206746,0.9605577,0.9139382,0.42352018,0.37406787,Offensive
18,0.23430873,0.32741022,0.41161135,0.75581276,0.06732892,0.98010707,Neutral
19,0.15530916,0.839125,0.98495,0.9508135,0.38633698,0.9083624,Offensive
20,0.6167906,0.7392387,0.9098734,0.88678163,0.96396166,0.29214916,Offensive
21,0.48097464,0.49555898,0.75883687,0.7473183,0.6522458,0.415748,Neutral
22,0.44258574,0.13494718,0.72436523,0.7231877,0.9249143,0.3283154,Profanity
23,0.72294575,0.50354743,0.9605577,0.85624933,0.7722222,0.8057423,Profanity
24,0.44287497,0.41687435,0.8837798,0.91164005,0.6807275,0.24675347,Profanity
25,0.8937513,0.30025816,0.6087075,0.7374374,0.9642848,0.2940559,Offensive
26,0.72229415,0.17567697,0.7152205,0.7246664,0.96396166,0.2582737,Profanity
27,0.34324086,0.7220493,0.7065739,0.72766185,0.25746462,0.2721857,Offensive
28,0.8437023,0.1328555,0.42748436,0.7158444,0.95597285,0.80709213,Profanity
29,0.118955396,0.12521614,0.89003754,0.81206656,0.13869433,0.21689077,Offensive
30,0.84571546,0.49339944,0.82485914,0.8214078,0.96396166,0.38223153,Offensive
31,0.2113981,0.15629429,0.8100189,0.7449034,0.16694137,0.21540003,Profanity
32,0.46534163,0.49438426,0.8394148,0.89414346,0.7991993,0.3116985,Very offensive
33,0.2984045,0.15199296,0.74252385,0.7335657,0.17931637,0.3694237,Profanity
34,0.35149047,0.124544,0.72723687,0.78227174,0.3128101,0.24701753,Profanity
35,0.35489902,0.4774982,0.8249771,0.8214078,0.5157134,0.20669064,Profanity
36,0.19004066,0.2964771,0.83465403,0.8214078,0.22703338,0.26690605,Profanity
37,0.3019865,0.9587259,0.9605577,0.89414346,0.6522458,0.20973255,Offensive
38,0.40379098,0.522775,0.8532361,0.83723867,0.76737726,0.20352681,Unknown
39,0.3448593,0.7675328,0.9811452,0.9455108,0.51694775,0.4049714,Offensive
40,0.26808888,0.16136678,0.77079356,0.8214078,0.6522458,0.21577162,Offensive
41,0.35727534,0.9490587,0.93464684,0.8462368,0.6522458,0.24413121,Very offensive
42,0.3852863,0.26833925,0.656422,0.7473183,0.20025916,0.92627305,Neutral
43,0.39418432,0.9340332,0.8580201,0.7689435,0.28687394,0.38297966,Profanity
44,0.21176025,0.23558205,0.92501026,0.8806418,0.7196802,0.18318196,Offensive
45,0.45250234,0.29295722,0.68958527,0.75221616,0.87872106,0.13962007,Offensive
46,0.5192306,0.15494752,0.70166117,0.74573207,0.38674906,0.24265976,Offensive
47,0.18582329,0.91243964,0.9605577,0.86612374,0.15074421,0.29369155,Offensive
48,0.6515762,0.11952044,0.656422,0.78015053,0.9518776,0.1679723,Profanity
49,0.15063548,0.073824525,0.59276253,0.78019434,0.28572357,0.10827507,Profanity
50,0.18658242,0.20312922,0.9633338,0.8032289,0.17503262,0.21698129,Offensive
51,0.42540842,0.45690504,0.9535211,0.91536796,0.4037587,0.9201613,Profanity
52,0.106549025,0.30366,0.93682694,0.7251162,0.1360498,0.09284159,Offensive
53,0.6358676,0.25161266,0.7675796,0.8546382,0.9672439,0.35690027,Offensive
54,0.2612282,0.86371624,0.79625356,0.70646447,0.3885283,0.249842,Offensive
55,0.097505406,0.9333236,0.8909121,0.71932673,0.21375252,0.22636765,Offensive
56,0.4538222,0.32737154,0.42956713,0.7473183,0.22146638,0.9262451,Offensive
57,0.3781853,0.3393147,0.9505845,0.91536796,0.5790279,0.3195755,Offensive
58,0.27398783,0.12394481,0.656422,0.8102055,0.29539546,0.24723081,Profanity
59,0.4369129,0.12159677,0.9076751,0.88678163,0.6522458,0.5367503,Offensive
60,0.6660673,0.1530283,0.7675796,0.8255767,0.7991993,0.39197206,Profanity
61,0.17715092,0.81877464,0.88835686,0.8214078,0.16839498,0.3487095,Offensive
62,0.43190706,0.6342086,0.96455854,0.8475367,0.25498787,0.24521042,Very offensive
63,0.368014,0.24187598,0.67220217,0.7473183,0.25548717,0.29374677,Neutral
64,0.722965,0.42442942,0.8394148,0.91536796,0.9518403,0.9083624,Offensive
65,0.78744406,0.19733945,0.5556575,0.7473183,0.9889302,0.2002834,Neutral
66,0.5511197,0.21239296,0.8394148,0.86062884,0.7722222,0.23379043,Offensive
67,0.56259894,0.24113405,0.5233933,0.7473183,0.66862047,0.24779676,Profanity
68,0.4578562,0.56090033,0.88923186,0.7202609,0.39050856,0.20369072,Offensive
69,0.72796637,0.3559819,0.82504636,0.70828056,0.7722222,0.31321102,Profanity
70,0.39435402,0.58795905,0.9098734,0.89943826,0.5434996,0.7363974,Offensive
71,0.4137204,0.23731893,0.66841245,0.73331285,0.6522458,0.29075646,Offensive
72,0.86236113,0.1526873,0.52798855,0.8559735,0.98315,0.16744833,Offensive
73,0.81067336,0.14924388,0.63188815,0.7552753,0.87783515,0.44936,Offensive
74,0.6278404,0.25040323,0.8527999,0.89297205,0.9518403,0.6262759,Offensive
75,0.86282814,0.2790435,0.713017,0.8868337,0.9836388,0.5633738,Offensive
76,0.5599212,0.32529476,0.7675796,0.7473183,0.8776443,0.40836284,Profanity
77,0.27296567,0.27600944,0.8673406,0.7687564,0.570884,0.22189812,Offensive
78,0.76939464,0.26155978,0.76456714,0.8546382,0.9770172,0.2385996,Profanity
79,0.4511054,0.14573087,0.656422,0.78062963,0.6784257,0.41388306,Profanity
80,0.500804,0.9149589,0.8626878,0.78558815,0.5732855,0.39684728,Very offensive
81,0.303284,0.29954076,0.93682694,0.8051908,0.38323715,0.26935476,Profanity
82,0.49882826,0.37596214,0.8635424,0.876335,0.91655165,0.28719482,Very offensive
83,0.16792828,0.570147,0.42751476,0.7746523,0.12808523,0.9805333,Neutral
84,0.6387985,0.88987,0.82485914,0.8075209,0.98315,0.19834808,Offensive
85,0.44657588,0.30842552,0.72723687,0.8546382,0.5518639,0.30817842,Profanity
86,0.13726282,0.44315737,0.91705,0.7317122,0.07273116,0.18706466,Offensive
87,0.24191152,0.10486885,0.6529459,0.76030505,0.38118032,0.11983779,Profanity
88,0.7682475,0.20793112,0.7274054,0.80891603,0.90230405,0.57904756,Profanity
